title,iso3,plan_id ,office_type
Afghanistan,afg,1100,Country office
Asia and the Pacific (ROAP),roap,1100,Regional office
Asia and the Pacific (ROAP),roap,1082,Regional office
Asia and the Pacific (ROAP),roap,1095,Regional office
Burkina Faso,bfa,1087,Country office
Burundi,bdi,1075,Country office
Cameroon,cmr,1080,Country office
Central African Republic (CAR),caf,1064,Country office
Chad,tcd,1091,Country office
Colombia,col,1090,Country office
Democratic Republic of the Congo (DRC),cod,1093,Country office
Ethiopia,eth,1079,Country office
Horn of Africa,horn,1079,Regional office
Horn of Africa,horn,1105,Regional office
Horn of Africa,horn,1063,Regional office
Iraq,iraq,1083,Country office
Latin America and the Caribbean (ROLAC),rolac,1090,Regional office
Latin America and the Caribbean (ROLAC),rolac,1096,Regional office
Latin America and the Caribbean (ROLAC),rolac,1097,Regional office
Lebanon,lebanon,1099,Country office
Libya,lby,1060,Country office
Mali,mli,1076,Country office
Middle East and North Africa (ROMENA),romena,1083,Regional office
Middle East and North Africa (ROMENA),romena,1060,Regional office
Middle East and North Africa (ROMENA),romena,1088,Regional office
Middle East and North Africa (ROMENA),romena,1077,Regional office
Middle East and North Africa (ROMENA),romena,1059,Regional office
Mozambique,moz,1094,Country office
Myanmar,mmr,1095,Country office
Niger,ner,1078,Country office
Nigeria,nga,1062,Country office
Pakistan,pak,1034,Country office
Sahel,sahel,1037,Regional office
Sahel,sahel,1030,Regional office
Sahel,sahel,1028,Regional office
Sahel,sahel,1036,Regional office
Sahel,sahel,1033,Regional office
Sahel,sahel,1032,Regional office
Somalia,som,1063,Country office
South Sudan,ssd,1098,Country office
Southern and Eastern Africa (ROSEA),rosea,1063,Regional office
Southern and Eastern Africa (ROSEA),rosea,1098,Regional office
Southern and Eastern Africa (ROSEA),rosea,1068,Regional office
Southern and Eastern Africa (ROSEA),rosea,1094,Regional office
Sudan,sdn,1068,Country office
Syrian Arab Republic,syr,1088,Country office
The Philippines,phl,1101,Country office
TÃ¼rkiye Cross-Border,tur,1088,Regional office
Ukraine,ukr,1102,Country office
Venezuela,ven,1097,Country office
West and Central Africa (ROWCA),rowca,1080,Regional office
West and Central Africa (ROWCA),rowca,1091,Regional office
West and Central Africa (ROWCA),rowca,1093,Regional office
West and Central Africa (ROWCA),rowca,1076,Regional office
West and Central Africa (ROWCA),rowca,1078,Regional office
Yemen,yem,1077,Country office
